"Año";"Periodo";"Precio de la luz"
"2021";"Día 5 de marzo";"52,45"
"2021";"Día 6 de marzo";"45,07"
"2021";"Día 7 de marzo";"47,05"
"2021";"Día 8 de marzo";"54,43"
"2021";"Día 9 de marzo";"56,88"
"2021";"Día 10 de marzo";"55,87"
"2021";"Día 11 de marzo";"40,76"
"2021";"Día 12 de marzo";"40,16"
"2021";"Día 13 de marzo";"27,75"
"2021";"Día 14 de marzo";"24,54"
"2021";"Día 15 de marzo";"47,59"
"2021";"Día 16 de marzo";"34,51"
"2021";"Día 17 de marzo";"17,35"
"2021";"Día 18 de marzo";"32,77"
"2021";"Día 19 de marzo";"29,66"
"2021";"Día 20 de marzo";"22,19"
"2021";"Día 21 de marzo";"30,28"
"2021";"Día 22 de marzo";"55,79"
"2021";"Día 23 de marzo";"64,47"
"2021";"Día 24 de marzo";"64,82"
"2021";"Día 25 de marzo";"66,35"
"2021";"Día 26 de marzo";"60,31"
"2021";"Día 27 de marzo";"41,11"
"2021";"Día 28 de marzo";"38,6"
"2021";"Día 29 de marzo";"45,69"
"2021";"Día 30 de marzo";"53,53"
"2021";"Día 31 de marzo";"55,16"
"2021";"Día 1 de abril";"52,12"
"2021";"Día 2 de abril";"51"
"2021";"Día 3 de abril";"35,18"
"2021";"Día 4 de abril";"27,74"
"2021";"Día 5 de abril";"44,55"
"2021";"Día 6 de abril";"55,97"
"2021";"Día 7 de abril";"66,11"
"2021";"Día 8 de abril";"69,78"
"2021";"Día 9 de abril";"71,87"
"2021";"Día 10 de abril";"65,01"
"2021";"Día 11 de abril";"52,01"
"2021";"Día 12 de abril";"63,04"
"2021";"Día 13 de abril";"75,5"
"2021";"Día 14 de abril";"73,96"
"2021";"Día 15 de abril";"68,19"
"2021";"Día 16 de abril";"68,93"
"2021";"Día 17 de abril";"64,19"
"2021";"Día 18 de abril";"64,54"
"2021";"Día 19 de abril";"79,03"
"2021";"Día 20 de abril";"78,58"
"2021";"Día 21 de abril";"79,6"
"2021";"Día 22 de abril";"74,41"
"2021";"Día 23 de abril";"68,56"
"2021";"Día 24 de abril";"57,31"
"2021";"Día 25 de abril";"61,09"
"2021";"Día 26 de abril";"75,99"
"2021";"Día 27 de abril";"77,95"
"2021";"Día 28 de abril";"74,4"
"2021";"Día 29 de abril";"74,67"
"2021";"Día 30 de abril";"79,29"
"2021";"Día 1 de mayo";"59,36"
"2021";"Día 2 de mayo";"61,39"
"2021";"Día 3 de mayo";"73,54"
"2021";"Día 4 de mayo";"81,27"
"2021";"Día 5 de mayo";"75,71"
"2021";"Día 6 de mayo";"73,11"
"2021";"Día 7 de mayo";"73,5"
"2021";"Día 8 de mayo";"47,25"
"2021";"Día 9 de mayo";"10,53"
"2021";"Día 10 de mayo";"59,26"
"2021";"Día 11 de mayo";"54,05"
"2021";"Día 12 de mayo";"53,04"
"2021";"Día 13 de mayo";"59,8"
"2021";"Día 14 de mayo";"71,53"
"2021";"Día 15 de mayo";"43,16"
"2021";"Día 16 de mayo";"26,65"
"2021";"Día 17 de mayo";"76,82"
"2021";"Día 18 de mayo";"77,65"
"2021";"Día 19 de mayo";"77,11"
"2021";"Día 20 de mayo";"79,79"
"2021";"Día 21 de mayo";"69,54"
"2021";"Día 22 de mayo";"66,41"
"2021";"Día 23 de mayo";"68,67"
"2021";"Día 24 de mayo";"67,4"
"2021";"Día 25 de mayo";"76,64"
"2021";"Día 26 de mayo";"80,72"
"2021";"Día 27 de mayo";"86,23"
"2021";"Día 28 de mayo";"88,95"
"2021";"Día 29 de mayo";"81,77"
"2021";"Día 30 de mayo";"71,93"
"2021";"Día 31 de mayo";"88,08"
"2021";"Día 1 de junio";"86,56"
"2021";"Día 2 de junio";"84,85"
"2021";"Día 3 de junio";"79,8"
"2021";"Día 4 de junio";"80,59"
"2021";"Día 5 de junio";"76,17"
"2021";"Día 6 de junio";"68,87"
"2021";"Día 7 de junio";"79,69"
"2021";"Día 8 de junio";"82,33"
"2021";"Día 9 de junio";"81,6"
"2021";"Día 10 de junio";"83,34"
"2021";"Día 11 de junio";"82,53"
"2021";"Día 12 de junio";"77,6"
"2021";"Día 13 de junio";"79,2"
"2021";"Día 14 de junio";"88,47"
"2021";"Día 15 de junio";"90,95"
"2021";"Día 16 de junio";"94,63"
"2021";"Día 17 de junio";"93"
"2021";"Día 18 de junio";"92,67"
"2021";"Día 19 de junio";"87,22"
"2021";"Día 20 de junio";"52,63"
"2021";"Día 21 de junio";"82,55"
"2021";"Día 22 de junio";"89,53"
"2021";"Día 23 de junio";"89,88"
"2021";"Día 24 de junio";"85,73"
"2021";"Día 25 de junio";"86,57"
"2021";"Día 26 de junio";"83,99"
"2021";"Día 27 de junio";"64,21"
"2021";"Día 28 de junio";"86,44"
"2021";"Día 29 de junio";"93,49"
"2021";"Día 30 de junio";"93,89"
"2021";"Día 1 de julio";"92,44"
"2021";"Día 2 de julio";"99,8"
"2021";"Día 3 de julio";"94,23"
"2021";"Día 4 de julio";"79,43"
"2021";"Día 5 de julio";"93,85"
"2021";"Día 6 de julio";"93,57"
"2021";"Día 7 de julio";"98,72"
"2021";"Día 8 de julio";"93,67"
"2021";"Día 9 de julio";"93,5"
"2021";"Día 10 de julio";"90,48"
"2021";"Día 11 de julio";"90,77"
"2021";"Día 12 de julio";"86,68"
"2021";"Día 13 de julio";"94,39"
"2021";"Día 14 de julio";"84,46"
"2021";"Día 15 de julio";"87,18"
"2021";"Día 16 de julio";"87,32"
"2021";"Día 17 de julio";"90,95"
"2021";"Día 18 de julio";"74,19"
"2021";"Día 19 de julio";"98,8"
"2021";"Día 20 de julio";"101,82"
"2021";"Día 21 de julio";"106,57"
"2021";"Día 22 de julio";"101,52"
"2021";"Día 23 de julio";"95,89"
"2021";"Día 24 de julio";"92,02"
"2021";"Día 25 de julio";"93,2"
"2021";"Día 26 de julio";"99,52"
"2021";"Día 27 de julio";"99,05"
"2021";"Día 28 de julio";"95,57"
"2021";"Día 29 de julio";"98,83"
"2021";"Día 30 de julio";"95,37"
"2021";"Día 31 de julio";"61,09"
"2021";"Día 1 de agosto";"76,89"
"2021";"Día 2 de agosto";"103,07"
"2021";"Día 3 de agosto";"106,27"
"2021";"Día 4 de agosto";"105,24"
"2021";"Día 5 de agosto";"101,6"
"2021";"Día 6 de agosto";"97,22"
"2021";"Día 7 de agosto";"65,64"
"2021";"Día 8 de agosto";"85,29"
"2021";"Día 9 de agosto";"106,74"
"2021";"Día 10 de agosto";"111,88"
"2021";"Día 11 de agosto";"113,99"
"2021";"Día 12 de agosto";"115,83"
"2021";"Día 13 de agosto";"117,29"
"2021";"Día 14 de agosto";"114,63"
"2021";"Día 15 de agosto";"110,02"
"2021";"Día 16 de agosto";"88,92"
"2021";"Día 17 de agosto";"89,5"
"2021";"Día 18 de agosto";"105,4"
"2021";"Día 19 de agosto";"113,4"
"2021";"Día 20 de agosto";"117,14"
"2021";"Día 21 de agosto";"110,14"
"2021";"Día 22 de agosto";"100,51"
"2021";"Día 23 de agosto";"99,76"
"2021";"Día 24 de agosto";"102,06"
"2021";"Día 25 de agosto";"116,73"
"2021";"Día 26 de agosto";"122,76"
"2021";"Día 27 de agosto";"118,99"
"2021";"Día 28 de agosto";"110,22"
"2021";"Día 29 de agosto";"102,03"
"2021";"Día 30 de agosto";"124,45"
"2021";"Día 31 de agosto";"130,53"
"2021";"Día 1 de septiembre";"132,47"
"2021";"Día 2 de septiembre";"140,23"
"2021";"Día 3 de septiembre";"137,7"
"2021";"Día 4 de septiembre";"134,89"
"2021";"Día 5 de septiembre";"128,7"
"2021";"Día 6 de septiembre";"132,65"
"2021";"Día 7 de septiembre";"127,36"
"2021";"Día 8 de septiembre";"135,65"
"2021";"Día 9 de septiembre";"141,71"
"2021";"Día 10 de septiembre";"152,32"
"2021";"Día 11 de septiembre";"150,78"
"2021";"Día 12 de septiembre";"144,18"
"2021";"Día 13 de septiembre";"154,16"
"2021";"Día 14 de septiembre";"153,43"
"2021";"Día 15 de septiembre";"172,78"
"2021";"Día 16 de septiembre";"188,18"
"2021";"Día 17 de septiembre";"166,29"
"2021";"Día 18 de septiembre";"159,37"
"2021";"Día 19 de septiembre";"146,57"
"2021";"Día 20 de septiembre";"156,75"
"2021";"Día 21 de septiembre";"150,26"
"2021";"Día 22 de septiembre";"175,87"
"2021";"Día 23 de septiembre";"165,19"
"2021";"Día 24 de septiembre";"172,97"
"2021";"Día 25 de septiembre";"166,36"
"2021";"Día 26 de septiembre";"160,42"
"2021";"Día 27 de septiembre";"174,68"
"2021";"Día 28 de septiembre";"182,71"
"2021";"Día 29 de septiembre";"189,9"
"2021";"Día 30 de septiembre";"189,83"
"2021";"Día 1 de octubre";"216,01"
"2021";"Día 2 de octubre";"173,65"
"2021";"Día 3 de octubre";"111,6"
"2021";"Día 4 de octubre";"186,46"
"2021";"Día 5 de octubre";"203,68"
"2021";"Día 6 de octubre";"228,59"
"2021";"Día 7 de octubre";"288,53"
"2021";"Día 8 de octubre";"229,2"
"2021";"Día 9 de octubre";"226,21"
"2021";"Día 10 de octubre";"175,91"
"2021";"Día 11 de octubre";"184,48"
"2021";"Día 12 de octubre";"184,74"
"2021";"Día 13 de octubre";"185,74"
"2021";"Día 14 de octubre";"215,63"
"2021";"Día 15 de octubre";"231,82"
"2021";"Día 16 de octubre";"226,93"
"2021";"Día 17 de octubre";"209,63"
"2021";"Día 18 de octubre";"227,45"
"2021";"Día 19 de octubre";"207,14"
"2021";"Día 20 de octubre";"201,4"
"2021";"Día 21 de octubre";"207,92"
"2021";"Día 22 de octubre";"203,54"
"2021";"Día 23 de octubre";"211,21"
"2021";"Día 24 de octubre";"213,29"
"2021";"Día 25 de octubre";"225,36"
"2021";"Día 26 de octubre";"215,83"
"2021";"Día 27 de octubre";"226,15"
"2021";"Día 28 de octubre";"205,05"
"2021";"Día 29 de octubre";"175,83"
"2021";"Día 30 de octubre";"124,53"
"2021";"Día 31 de octubre";"79"
"2021";"Día 1 de noviembre";"91,2"
"2021";"Día 2 de noviembre";"145,95"
"2021";"Día 3 de noviembre";"154,29"
"2021";"Día 4 de noviembre";"171,91"
"2021";"Día 5 de noviembre";"171,45"
"2021";"Día 6 de noviembre";"157,53"
"2021";"Día 7 de noviembre";"131,5"
"2021";"Día 8 de noviembre";"167,67"
"2021";"Día 9 de noviembre";"178,45"
"2021";"Día 10 de noviembre";"199,28"
"2021";"Día 11 de noviembre";"183,21"
"2021";"Día 12 de noviembre";"185,02"
"2021";"Día 13 de noviembre";"180,48"
"2021";"Día 14 de noviembre";"172,47"
"2021";"Día 15 de noviembre";"180,88"
"2021";"Día 16 de noviembre";"194,23"
"2021";"Día 17 de noviembre";"194,84"
"2021";"Día 18 de noviembre";"226,94"
"2021";"Día 19 de noviembre";"228,84"
"2021";"Día 20 de noviembre";"218,46"
"2021";"Día 21 de noviembre";"229,62"
"2021";"Día 22 de noviembre";"236,51"
"2021";"Día 23 de noviembre";"225,58"
"2021";"Día 24 de noviembre";"225,7"
"2021";"Día 25 de noviembre";"228,42"
"2021";"Día 26 de noviembre";"227,59"
"2021";"Día 27 de noviembre";"204,35"
"2021";"Día 28 de noviembre";"201,42"
"2021";"Día 29 de noviembre";"215"
"2021";"Día 30 de noviembre";"274,56"
"2021";"Día 1 de diciembre";"247,21"
"2021";"Día 2 de diciembre";"220,66"
"2021";"Día 3 de diciembre";"226,15"
"2021";"Día 4 de diciembre";"220,9"
"2021";"Día 5 de diciembre";"101,97"
"2021";"Día 6 de diciembre";"209,78"
"2021";"Día 7 de diciembre";"211,81"
"2021";"Día 8 de diciembre";"108,73"
"2021";"Día 9 de diciembre";"216,74"
"2021";"Día 10 de diciembre";"208,41"
"2021";"Día 11 de diciembre";"239,53"
"2021";"Día 12 de diciembre";"256,98"
"2021";"Día 13 de diciembre";"268,21"
"2021";"Día 14 de diciembre";"287,78"
"2021";"Día 15 de diciembre";"291,73"
"2021";"Día 16 de diciembre";"302,48"
"2021";"Día 17 de diciembre";"309,2"
"2021";"Día 18 de diciembre";"306,33"
"2021";"Día 19 de diciembre";"319,63"
"2021";"Día 20 de diciembre";"339,84"
"2021";"Día 21 de diciembre";"327,38"
"2021";"Día 22 de diciembre";"360,02"
"2021";"Día 23 de diciembre";"383,67"
"2021";"Día 24 de diciembre";"311,02"
"2021";"Día 25 de diciembre";"226,42"
"2021";"Día 26 de diciembre";"188,53"
"2021";"Día 27 de diciembre";"96,08"
"2021";"Día 28 de diciembre";"104,36"
"2021";"Día 29 de diciembre";"181,09"
"2021";"Día 30 de diciembre";"200,68"
"2021";"Día 31 de diciembre";"140,82"
"2022";"2022";"122,63"
"2022";"Día 2 de enero";"136,97"
"2022";"Día 3 de enero";"150,5"
"2022";"Día 4 de enero";"152,47"
"2022";"Día 5 de enero";"180,99"
"2022";"Día 6 de enero";"212,98"
"2022";"Día 7 de enero";"215,86"
"2022";"Día 8 de enero";"203,45"
"2022";"Día 9 de enero";"119,83"
"2022";"Día 10 de enero";"217,26"
"2022";"Día 11 de enero";"223,16"
"2022";"Día 12 de enero";"206,07"
"2022";"Día 13 de enero";"215,11"
"2022";"Día 14 de enero";"202,95"
"2022";"Día 15 de enero";"218,82"
"2022";"Día 16 de enero";"213,1"
"2022";"Día 17 de enero";"244,67"
"2022";"Día 18 de enero";"222,73"
"2022";"Día 19 de enero";"213,16"
"2022";"Día 20 de enero";"190,64"
"2022";"Día 21 de enero";"179,09"
"2022";"Día 22 de enero";"190,41"
"2022";"Día 23 de enero";"201,34"
"2022";"Día 24 de enero";"227"
"2022";"Día 25 de enero";"224,24"
"2022";"Día 26 de enero";"236,77"
"2022";"Día 27 de enero";"232,5"
"2022";"Día 28 de enero";"224,59"
"2022";"Día 29 de enero";"223,36"
"2022";"Día 30 de enero";"230,5"
"2022";"Día 31 de enero";"221,82"
"2022";"Día 1 de febrero";"206,54"
"2022";"Día 2 de febrero";"210,18"
"2022";"Día 3 de febrero";"207,89"
"2022";"Día 4 de febrero";"197,03"
"2022";"Día 5 de febrero";"198,37"
"2022";"Día 6 de febrero";"190,47"
"2022";"Día 7 de febrero";"206,46"
"2022";"Día 8 de febrero";"203,7"
"2022";"Día 9 de febrero";"210,52"
